EC137,127060583,0,153899148,153899148,43480826,3781496,1699702,48962024,1706436,37520406,1817797,41044639,2573866,5053752,28892096,36519714,3265128,1736020,1720169,6721317,133247694,153899148,-20651454,-13.4188228255,153899148
EC138,98965966,0,130473,130473,65068444,2004729,2543060,69616233,0,22162404,1679700,23842104,2871231,2805700,16876609,22553540,2393609,1842492,1470463,5706564,121718441,108958056,12760385,11.7112818166,130473
EC141,138737312,0,199025199,194385320,59051547,57675064,3932096,120658707,3788108,37003123,4557639,45348870,3401006,4350134,29756332,37507472,2091084,2665370,7024085,11780539,215295588,199024860,16270728,8.1752239394,194385320
EC142,158360741,0,158751472,165405879,55230781,6173961,4410959,65815701,3715897,41995942,7582898,53294737,3790470,3914519,35679294,43384283,4683035,5007386,5707069,15397490,177892211,158751466,19140745,12.0570508621,165405879
EC143,115201229,0,130034620,124822530,28964950,5828198,6837957,41631105,6203049,13256797,7227087,26686933,5779667,6156318,2664792,14600777,5963959,6406016,13543766,25913741,108832556,130034620,-21202064,-16.3049378696,124822530
EC144,63327053,0,103149735,103149735,10581714,14053955,5164828,29800497,5137952,10062440,9703089,24903481,7978986,2377707,9179274,19535967,12970932,5404813,5665071,24040816,98280761,103149701,-4868940,-4.7202657427,103149735
EC153,223804009,0,221194268,194541940,68131698,2581307,1093149,71806154,2004552,51607409,2815651,56427612,1934207,1170923,12130749,15235879,1180843,4207392,2981798,8370033,151839678,221194268,-69354590,-31.3546054457,194541940
EC154,99237120,0,108758164,108758164,36178810,35905701,265441,72349952,1346830,25846868,1570779,28764477,598580,615185,0,1213765,263332,932460,0,1195792,103523986,110478265,-6954279,-6.2947033066,108758164
EC155,172662586,0,210547175,223587431,69855068,3813859,1652979,75321906,2700837,59301111,1925281,63927229,1006506,4902567,46809933,52719006,675245,720095,3316828,4712168,196680309,210547175,-13866866,-6.5861087901,223587431
EC156,140335897,0,162163508,162163508,54916587,1834686,625466,57376739,1586055,44682870,1850103,48119028,710662,1748657,35525280,37984599,1163174,322161,0,1485335,144965701,162163511,-17197810,-10.6052279541,162163508
EC157,689426589,0,814452372,798821954,92537233,27372185,73144230,193053648,39802655,95132754,28042151,162977560,27563395,22227301,326756544,376547240,11029737,3836893,-26001919,-11135289,721443159,814451085,-93007926,-11.4197068078,798821954
EC441,234034968,0,310950418,307883017,58976905,26881091,6655954,92513950,13263306,51784816,7055368,72103490,8717433,8079253,46949436,63746122,6577451,5685311,1598600,13861362,242224924,310950420,-68725496,-22.1017537137,307883017
EC442,186114837,0,205395400,210400651,32412849,24019582,1360310,57792741,1509141,1020120,1227465,3756726,1919959,1919959,4744299,8584217,1676097,1676097,30901445,34253639,104387323,205395139,-101007816,-49.17731573,210400651
EC443,171625070,0,307497178,337715508,62289586,4843426,3715172,70848184,3630768,52203956,4214022,60048746,4553467,4734124,42676701,51964292,7085213,4409281,5450002,16944496,199805718,307497197,-107691479,-35.0219384276,337715508
EC444,82595916,0,90614139,105390762,769242,1971082,351969,3092293,351969,26994969,741969,28088907,741969,740969,22602150,24085088,22602150,22602150,351969,45556269,100822557,90594132,10228425,11.2903835758,105390762
EKU,23548606845,0,26310700762,26607068433,2748100829,2607732874,2121583949,7477417652,1820111983,2583789976,2366773228,6770675187,1719079953,1793886915,2855213181,6368180049,1802681833,1761768516,1904373558,5468823907,26085096795,26310700756,-225603961,-0.8574608601,26607068433
ETH,24423514180,0,26725375219,26794956379,2653665305,2641771710,1841417126,7136854141,1948596265,2166532518,2887877269,7003006052,1846156707,1925868648,3517436867,7289462222,1966669212,1889047435,1753865365,5609582012,27038904427,26725375221,313529206,1.1731517459,26794956379
FS161,107427200,0,112525351,112524939,4038937,4049277,4042493,12130707,3629332,3909837,20165702,27704871,3762688,3711699,3345416,10819803,3889514,3440606,4349377,11679497,62334878,112525349,-50190471,-44.6037016957,112524939
FS162,0,0,217961608,209450000,38181137,6500049,4549501,49230687,6000620,6109896,32815765,44926281,6573592,6814008,27864313,41251913,6145712,6065712,6065712,18277136,153686017,209150700,-55464683,-26.5190042395,209450000
FS163,135326569,0,132331987,132727625,20007580,4088429,2717247,26813256,2427571,1949964,19194906,23572441,1994311,2540271,16498235,21032817,1825938,1749137,1713369,5288444,76706958,132331988,-55625030,-42.0344550405,132727625
FS164,81365059,0,89547898,81365059,8654602,4875534,4909208,18439344,4852383,4201843,4002052,13056278,4134549,4075956,4359502,12570007,3517950,3489288,3711521,10718759,54784388,89180141,-34395753,-38.5688479681,81365059
FS181,172964103,0,192682926,192108000,56299561,11371025,11053494,78724080,9750393,21281096,7893965,38925454,10373076,9606620,9704198,29683894,6276659,7136320,26711025,40124004,187457432,181446209,6011223,3.3129504513,192108000
FS182,68951804,0,72583041,72583040,19725474,3747134,12019006,35491614,2257088,2233641,16759112,21249841,2268489,-3311108,14103246,13060627,1997809,2052200,2277369,6327378,76129460,72583041,3546419,4.8860160048,72583040
FS183,145924150,0,112142419,122374695,15015230,26727869,3805984,45549083,3950611,3479144,3862284,11292039,3471911,26078036,20202957,49752904,3656809,3686133,3779090,11122032,117716058,112142895,5573163,4.9696978128,122374695
FS184,1645024257,0,1797825637,1787825949,291130992,104837383,147106890,543075265,135211437,226428489,124452423,486092349,128429109,123937292,132659208,385025609,126951170,176327401,235737877,539016448,1953209671,1797825358,155384313,8.6429036229,1787825949
FS185,327704697,0,360759875,338141000,68977883,19942824,17530027,106450734,850409,17397907,53468756,71717072,18389667,14919606,18184589,51493862,19538291,30540030,38209277,88287598,317949266,360759874,-42810608,-11.8667876018,338141000
FS191,355152031,0,392718780,391002097,81292065,19558717,22285265,123136047,18371188,18370229,72414745,109156162,17087013,15203381,59620904,91911298,63457946,18517929,17353726,99329601,423533108,392718767,30814341,7.8464141745,391002097
FS192,566443757,0,602996363,602996363,103694771,40285746,36070635,180051152,65938063,35782786,76436897,178157746,39000472,37143242,37025712,113169426,37189883,34715802,69967821,141873506,613251830,602996363,10255467,1.7007510541,602996363
FS193,216406989,0,243341218,285583000,45718061,17687725,14761207,78166993,14534878,15302443,13344304,43181625,15815610,14367901,13888004,44071515,23322613,25800331,55498126,104621070,270041203,243341363,26699840,10.9721749196,285583000
FS194,927087660,0,1400829715,1411446211,220611115,-18045875,57006166,259571406,35278288,203959555,66527990,305765833,40470039,47576525,47585814,135632378,42241977,59114542,48635288,149991807,850961424,1255708465,-404747041,-32.2325645069,1411446211
FS195,102589591,0,109885728,111679378,29016044,9273550,64140,38353734,4006652,5730713,22578063,32315428,5921350,8562769,19749579,34233698,4423578,3875902,0,8299480,113202340,109885716,3316624,3.0182485229,111679378
FS196,196163638,0,218108260,218108260,22523338,10220341,26471811,59215490,3177028,9359026,40032865,52568919,8562292,10203674,10813172,29579138,10592821,16661001,12583829,39837651,181201198,214951731,-33750533,-15.7014474101,218108260
FS201,0,0,447570182,447570182,104732863,36886191,36868328,178487382,35773062,34058722,38120209,107951993,34387172,34516454,36659236,105562862,34469013,53160422,33002608,120632043,512634280,618591964,-105957684,-17.1288490906,447570182
