Municipality,Year,Budget,Adjusted Budget,Q1 – Sep,Q2 – Dec,Q3 – Mar,Q4 – Jun
KZN232,2013,6482240,6482240,1154586,1054765,1602082,2234060
KZN285,2012,50000,802000,35800,211204,460151,262433
WC014,2013,2841476,2858700,471132,436103,540818,422813
LIM333,2012,2330136,2330136,1157233,1704016,1345296,505022
KZN292,2012,3409266,3409266,601262,994053,822433,785547
GT484,2014,6022996,3411892,811770,808845,967689,N/A
KZN232,2014,6483447,6483447,822947,962552,1016296,N/A
MAN,2014,13208202,13408202,1093735,2990850,2243776,N/A
KZN284,2014,3604270,2958740,543590,846870,624721,N/A
KZN284,2012,3903730,3395730,574191,837381,594803,461623
NW373,2014,12879409,12879409,2307029,2114659,2659833,N/A
NW403,2012,11054318,9979318,2133532,1523495,1521917,1403712
NC091,2014,7633800,7633800,1340977,939466,1268734,N/A
KZN284,2013,4905760,3432520,849582,805932,603629,560885
EC104,2013,826380,826380,193509,302070,183989,58998
NW373,2013,7417386,7417386,1395059,2041644,1669791,3748494
KZN292,2014,4659700,4653500,-802865,844156,704387,N/A
KZN232,2012,5892937,5892937,914568,811352,1104788,1050442
WC033,2014,1186416,1186416,136245,112364,173597,N/A
NC083,2012,1874911,1519088,430939,315790,425532,348616
LIM361,2012,651526,651526,124003,285023,154902,0
MP306,2013,280063,280063,30160,139387,167266,51810
EC109,2014,0,600000,135850,129485,237692,N/A
NC078,2012,1036,5000,121047,115844,57600,11703
GT483,2013,4236000,4236000,-968912,348966,523931,1556575
WC026,2013,3280150,3292280,293705,303900,280124,389165
KZN225,2013,3474570,3566150,726201,1912956,2121162,2858342
KZN274,2013,1488000,690150,98205,221870,47860,62020
NW373,2012,7250305,6072849,1086614,1682527,1606058,1618863
LIM334,2014,1900000,2500000,720000,460000,350000,N/A
NW403,2013,12427862,8311460,2091421,1174720,2159518,2477291
MP314,2012,600850,600850,100011,137250,63840,104585
MP305,2012,1277037,1275977,231082,327868,386663,1273935
EC143,2012,387911,256400,5242,123885,49202,71625
WC022,2014,3293150,5293150,173731,322408,238131,N/A
WC013,2013,268500,505000,90722,171538,200971,288966
EC108,2013,3032451,3032451,571587,272923,225256,39747
LIM366,2012,3850026,3850026,305854,182709,125935,568506
NW375,2013,2120910,6664500,0,661200,916200,434900
KZN241,2013,359875,359875,98255,174989,136017,121549
KZN212,2012,1437400,1366247,220102,210679,243965,272672
KZN263,2013,1705880,1911000,497047,560670,535873,3563781
WC013,2014,705000,853000,306677,163802,300058,N/A
NW383,2013,3392316,3392316,759221,761425,516605,643666
KZN433,2013,2973974,1870000,440059,171627,52171,74300
EC105,2013,602544,602544,73500,158450,104034,91544
KZN434,2012,37637,37637,10350,261739,220466,21561
GT481,2013,16922684,6792511,948842,928318,3243134,4355099
LIM341,2014,3000000,3000000,294443,167950,181300,N/A
MP321,2014,1648439,1742437,493303,239525,297617,N/A
NW383,2012,1540000,2543134,769078,677729,593101,381057
EC106,2013,1072601,1061820,93374,126642,118437,56148
MP312,2014,2600612,2600612,1108381,916776,830909,N/A
KZN223,2013,310000,310000,5700,85900,157150,0
WC022,2013,2168800,2168800,188547,255787,114582,155527
EC143,2013,451500,320000,14642,96606,56097,86666
KZN252,2014,2570189,2570188,414552,793874,728102,N/A
EC105,2012,526478,526478,91475,132850,101700,153940
MP321,2013,2056930,2056930,274994,212908,362349,147115
KZN263,2014,1582000,2010630,418109,456464,502823,N/A
NW385,2014,0,3000000,195130,321270,90204,N/A
KZN252,2013,0,2336534,615879,767893,381000,681825
FS203,2013,1500000,1200000,247897,253648,347407,247818
BUF,2013,11765139,11765139,1289942,1584870,1253361,1817031
KZN263,2012,1672730,2370750,244544,440441,339079,1957342
FS182,2013,80000,80000,24785,59566,24299,9507
EC106,2014,0,0,153433,111748,120520,N/A
MP306,2014,283000,310000,76506,80383,54297,N/A
KZN282,2012,2053200,2046600,524239,623683,1023483,824952
MP322,2013,3742107,3197990,560175,1038820,830817,1318191
KZN223,2014,300000,300000,104225,66550,30550,N/A
KZN241,2012,0,626860,114587,112941,100310,100110
LIM341,2013,0,0,376643,117670,147398,420814
MP304,2012,0,0,20,143097,29220,0
LIM344,2012,2068201,2068201,1594971,885204,413998,279690
EC122,2014,1645940,1645940,137350,430405,262750,N/A
KZN432,2013,35000,95400,25900,21900,12050,18230
WC022,2012,2046028,2046028,97939,195399,341289,219381
WC042,2013,2499700,2499700,765259,88439,575372,550476
MP322,2014,3581749,3198607,706336,980286,448870,N/A
LIM343,2012,2450000,3800000,1156947,1020618,1059620,770838
EC444,2014,0,0,206879,198000,198000,N/A
BUF,2014,12929888,8553238,1635431,1201498,1535942,N/A
KZN261,2013,564861,514861,97270,129775,102202,10396
KZN432,2012,181618,107210,74200,20300,31650,35800
EC122,2012,1419306,1707024,803629,397063,311575,735309
BUF,2012,0,10656828,1575336,1186311,1094221,1599869
LIM354,2014,6087320,6087320,639006,953193,279984,N/A
EC109,2012,0,359600,45868,61589,45450,41230
WC045,2014,1000001,1000001,114751,144740,318198,N/A
NW372,2012,750000,750000,330837,718743,71866,139114
FS201,2013,753000,753000,233613,241670,203157,296170
EC105,2014,14569,14569,124750,91624,98156,N/A
MP315,2013,42000,42000,13697,462188,162600,37274
FS184,2014,6480000,6480000,1004279,603446,724734,N/A
EC102,2012,333853,333853,47192,53254,35586,9450
KZN245,2014,804000,804000,190667,152283,122383,N/A
LIM354,2012,5162705,5162705,1383896,927267,1007252,590070
FS184,2013,0,1903384,699449,591830,709309,642945
LIM333,2013,3210136,3210136,570054,562917,440092,927677
MP303,2013,1260000,1120000,381575,244851,221219,158112
NW392,2014,300680,350250,84487,94232,93527,N/A
MP303,2012,1812000,1200000,234963,236215,157715,148510
KZN223,2012,2649933,1211750,53675,52200,203950,18400
KZN241,2014,508745,508745,100133,88539,97819,N/A
KZN225,2012,6078597,6078597,927344,830769,700309,1354965
MP321,2012,1958400,1958400,51502,129756,166877,6106147
KZN245,2013,404000,804000,256120,135153,148944,183926
EC442,2012,400000,819432,221565,251089,206100,206100
