Municipality,Name,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Total
KZN223,Mpofana,0,0.003743,0.00306,0.001954,0.003525
KZN242,Msinga,0.002859,0.000521,0.00043,0.00039,0.000688
MP302,Msukaligwa,0.00717,0.00037,0.000653,0.0005,0.000984
KZN224,Msunduzi,0.002806,0.000695,0.000608,0.000731,0.00072
KZN282,Mthonjaneni,0.005923,0.0041,0.003795,0.003964,0.003738
KZN273,Mtubatuba,0.007169,0.002567,0.00137,0.063043,0.009198
LIM342,Musina,0.023015,0.002339,0.001738,0.005065,0.003703
LIM343,Mutale,0.00512,0.00038,0.002465,0.001268,0.005174
FS185,Nala,0,0,0,0,0
FS164,Naledi,0.000395,0.001057,0.000307,0.002796,0.000325
NW392,Naledi,0.003776,0.000748,0.001769,0.001828,0.001344
NC062,Nama Khoi,0.002212,0.000685,0.001284,0.00237,0.001097
Summary,National Average,0.007252,0.002753,0.005307,0.004137,0.005084
EC105,Ndlambe,0.002356,0.001707,0.001137,0.001253,0.001818
KZN294,Ndwedwe,0,0,0,0,0
NMA,Nelson Mandela Bay,0.004069,0.0025,-0.00078,0.00128,0.002912
KZN254,Newcastle,0.030219,0.000719,0.001514,0.000917,0.002416
EC126,Ngqushwa,0.004025,-0.000115,0.00058,0.001164,0.001268
FS203,Ngwathe,0.002431,0.001589,0.001197,0.00157,0.001932
KZN283,Nkandla,0,0,0,0,0
FS193,Nketoana,0.002015,0.00022,0.000343,0.000927,0.00059
MP324,Nkomazi,0.002704,0.000554,0.000618,0.000774,0.000923
EC127,Nkonkobe,0.000836,0.000303,0.001287,0.000809,0.000418
KZN263,Nongoma,0.005583,0.003994,0.004764,0.004538,0.006269
KZN244,Nquthu,0,0,0,0,0
EC444,Ntabankulu,0.118202,0.005918,0.06457,0.0088,0.008239
KZN284,Ntambanana,0.010552,0.00748,0.013088,0.022622,0.013612
EC128,Nxuba,0.001199,0.000379,0.000561,0.000682,0.000652
EC155,Nyandeni,0.003148,0.000308,0.000363,0.000225,0.002408
KZN235,Okhahlamba,0.006037,0.001555,0.000909,0.00125,0.001859
WC045,Oudtshoorn,0.003168,0.00065,0.001947,0.00384,0.002741
WC032,Overstrand,0.013489,0.008804,0.009718,0.009295,0.008984
NC094,Phokwane,0.000594,0.000657,0.000451,0.000979,0.001022
FS195,Phumelela,0.000435,0.0005,0.000489,0.000544,0.000838
MP304,Pixley Ka Seme,0.003364,0.000886,0.000733,0.001151,0.00145
LIM355,Polokwane,-0.004794,0.002817,0.003598,0.004165,0.002675
EC154,Port St Johns,0.000528,0.000084,0.00009,0.000857,0.000278
WC052,Prince Albert,0.036338,0.004802,0.014688,0.029878,0.018695
NW385,Ramotshere Moiloa,0.00946,0.003515,0.009512,0.004241,0.008667
GT482,Randfontein,0.013316,0.005572,0.003892,0.004685,0.008419
NW381,Ratlou,0,0,0.000046,0,0.000009
NC075,Renosterberg,0.001593,0.000722,0.001467,0,0.000591
KZN225,Richmond,0.003263,0.002628,0.005348,0.003861,0.002514
NC061,Richtersveld,0.00207,0.00074,0.000041,0.000313,0.00043
NW373,Rustenburg,0.006533,0.003054,0.003436,0.003987,0.00353
EC138,Sakhisizwe,0.000745,0.00012,0.000009,0.000265,0.000509
WC014,Saldanha Bay,0.004024,0.000859,-0.001793,0.003552,0.002797
EC142,Senqu,0.001731,0.0001,0.000043,0.000142,0.000299
FS191,Setsoto,0.004245,0.000928,0.000813,0.0089,0.001735
NC078,Siyancuma,0.009159,0.001296,0.001558,0.001142,0.002349
NC077,Siyathemba,0.000093,0.000361,0.000141,0.000128,0.000303
NC091,Sol Plaatje,0.00401,0.001572,0.005501,0.006826,0.003413
WC024,Stellenbosch,0.031363,0.009521,0.042421,0.025328,0.015646
MP313,Steve Tshwete,0.007118,0.006982,0.006205,0.005517,0.006162
EC106,Sundays River Valley,0.017036,0.003676,0.003704,0.004117,0.006024
WC015,Swartland,0.00648,0.006126,0.020504,0.020397,0.012196
WC034,Swellendam,0.02147,0.014531,0.026007,0.02509,0.0148
MP321,Thaba Chweu,0.00372,0.004676,0.003622,0.004523,0.011947
LIM367,Thabazimbi,0.001827,0.00053,0.002045,0.001724,0.00173
KZN274,The Big Five False Bay,0.101443,0.002805,0.000998,0.001337,0.019373
WC031,Theewaterskloof,0.050479,0.033459,0.050019,0.02327,0.020805
NC076,Thembelihle,0.025131,0.000221,0.000671,0.000685,0.017562
MP315,Thembisile Hani,0.000466,0.000713,0.000718,0.002078,0.001295
LIM344,Thulamela,0,0.002665,0.004403,0.007401,0.003408
NW402,Tlokwe,0.015001,0.010034,0.010027,0.005798,0.008887
FS182,Tokologo,0.001926,0.001216,0.000607,0.000575,0.001482
NC085,Tsantsabane,0,0.000457,0,0.000594,0.000355
TSH,Tshwane,0.000147,0.000251,0.000172,0.000134,0.000207
EC132,Tsolwana,0.000056,0.000071,0,0.000796,0.00008
NW382,Tswaing,0.001235,0.000691,0.003379,0.000413,0.000669
FS183,Tswelopele,0.003716,0.000676,0.002453,0,0.001171
KZN434,Ubuhlebezwe,0.00766,0.001132,0.000982,0.000915,0.003388
NC071,Ubuntu,0.250347,0.189256,0.20448,0.139373,0.165161
KZN265,Ulundi,0.002531,0.000295,0.001065,0.000549,0.000702
KZN213,Umdoni,0,0,0,0,0
KZN275,uMhlabuyalingana,0.010557,0.000374,0.000456,0.000254,0.001963
KZN285,uMhlathuze,0.021069,0.087393,0.035912,0.034805,0.027487
MP323,Umjindi,0.003456,0.000712,0.000021,0.001216,0.000815
KZN286,uMlalazi,0,0,0,0,0
KZN226,uMngeni,0.000834,0.000123,0.000222,0,0.000412
KZN227,uMshwathi,0.031131,0.000032,0.001214,0.000168,0.000947
NC072,Umsobomvu,0.00269,0.000911,0.00143,0.009708,0.02847
KZN236,Umtshezi,0.000105,0,0,0,0.000024
KZN214,uMuziwabantu,0.000492,0.000169,0.000444,0.000842,0.000725
KZN245,Umvoti,0.004103,0.003763,0.002696,0.002905,0.003788
KZN435,Umzimkhulu,0.016965,0.002548,0.004635,0.004774,0.004225
EC442,Umzimvubu,0.030059,0.040133,0.002539,0.015074,0.010666
KZN215,Umzumbe,0,0.000014,0,0,0.000002
KZN266,uPhongolo,0.159935,0.013552,0.028286,0.015787,0.023011
NW401,Ventersdorp,0.083176,0.015825,0.058428,0.041876,0.03287
MP311,Victor Khanye,0.000845,0.000623,0.000074,0.000653,0.000996
KZN216,Vulamehlo,0.020878,0.012083,0.014257,0.015254,0.00763
GT483,Westonaria,0.020471,0.000787,0.015239,0.000198,0.000732
WC022,Witzenberg,0.002089,0.001383,0.004677,0.003087,0.00261
