Province,Municipality,Name,Total Fines,Total Budget,Population
NW,NW373,Rustenburg,9259155,2774344987,549575
NW,NW374,Kgetlengrivier,2082280,96478829,51049
NW,NW375,Moses Kotane,2183500,388943306,242554
NW,NW381,Ratlou,1490,127596512,107339
NW,NW382,Tswaing,96196,105035166,124218
NW,NW383,Mahikeng,1621506,420743282,291527
NW,NW384,Ditsobotla,345701,347571347,168902
NW,NW385,Ramotshere Moiloa,2123607,134376874,150713
NW,NW392,Naledi,415776,234604003,66781
NW,NW393,Mamusa,8071,102690267,60355
NW,NW394,Greater Taung,366,89195368,177642
NW,NW396,Lekwa-Teemane,103218,156857306,53248
NW,NW397,Kagisano-Molopo,0,48686091,105789
NW,NW401,Ventersdorp,5457030,132458469,56702
NW,NW402,Tlokwe,7337264,965195643,162762
NW,NW403,Matlosana,9296785,1730484105,398676
NW,NW404,Maquassi Hills,3706068,263211795,77794
AVG,Summary,National Average,1024433163,244507746391,51770563
GT,TSH,Tshwane,4392142,21658663449,2921488
WC,WC011,Matzikama,1457863,189138874,67147
WC,WC012,Cederberg,1201285,167928770,49768
WC,WC013,Bergrivier,995559,208601862,61897
WC,WC014,Saldanha Bay,1053828,654341314,99193
WC,WC015,Swartland,6348317,399125256,113762
WC,WC022,Witzenberg,967032,374758769,115946
WC,WC023,Drakenstein,5167051,1444902713,251262
WC,WC024,Stellenbosch,22412359,1022856750,155733
WC,WC025,Breede Valley,13684853,656270162,166825
WC,WC026,Langeberg,2350754,413791377,97724
WC,WC031,Theewaterskloof,11375308,339331663,108790
WC,WC032,Overstrand,7250702,741487533,80432
WC,WC033,Cape Agulhas,556802,210356951,33038
WC,WC034,Swellendam,3596863,164441656,35916
WC,WC041,Kannaland,212292,81158105,24767
WC,WC042,Hessequa,3717904,275240927,52642
WC,WC043,Mossel Bay,3342427,705165370,89430
WC,WC044,George,14199082,1097394621,193672
WC,WC045,Oudtshoorn,1055290,391144559,95933
WC,WC047,Bitou,8195865,411274097,49162
WC,WC048,Knysna,11550992,517454511,68659
WC,WC051,Laingsburg,3704040,34513485,8289
WC,WC052,Prince Albert,947713,37071337,13136
WC,WC053,Beaufort West,10910104,208818490,49586
