Municipality,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014
FS185,0,0,0,0,0,0,0,0,0,0,0.000049249
FS191,0.5527234296,0.8107054362,1.0529054948,1.0141833264,0.8686377079,0.3100704282,1.237608462,1.3185342416,1.0868673233,0.6567137668,6.9745996785
FS192,0.9828909746,0.7514451765,0.6384416957,0.3554668076,0.0555538289,0.244646631,19.4222479488,12.1727219045,17.0690343734,4.9842196047,14.9424027225
FS193,0.7415124992,0.383893641,0.4042503813,0.1832272396,0.5529474173,0.8521152443,0.2329255354,0.3220940256,0.274749685,0.3348584311,0.5976062595
FS194,0.5224757582,5.5976550401,6.1195738927,2.7911603888,1.1626998308,0.6094751388,0.5396832488,0.482354728,0.5021233888,1.1161044004,0.4961254854
FS195,0.6608054928,0.4400066985,0.34853052,0.5612074018,0.6746629825,0.4187808758,0.5992422339,0.1011680482,0.4207485556,0.2614920874,0.2677509838
FS196,0.4346403949,0.1239619242,0.3030397994,0.8719837042,0.679645879,0.4657630837,0.7082419304,0.7031494829,1.2897602632,0.9430821059,1.0210357255
FS201,0.8603580595,1.0821892208,1.4417561608,2.181776842,1.4552425685,1.5054319388,1.2655233847,1.844928114,1.534155184,1.2598796502,1.0691637804
FS203,1.5242366412,0.948398606,1.7960089612,2.1560653833,2.0568951211,2.1046133422,2.8825672088,2.0562396283,1.8936691006,1.282484235,1.773398606
FS204,5.3473589613,8.6627612201,7.2304302921,9.301338627,5.7139590096,4.4578694637,5.8687662634,9.4070338278,5.9602100491,4.7225903372,24.6749336052
FS205,0.3749395259,0.8832676757,0.20733983,0.2298016449,0,0,0,0,0,0,0
GT421,6.9328218296,12.2044139716,13.1438718626,10.2894869212,13.6698694543,10.3365074834,8.4910200468,8.2979825764,8.78466819,7.1115021832,4.466027772
GT422,18.3589364225,37.3649594443,34.3047711986,33.32299766,6.1601242379,19.1816665093,20.4081908899,34.5390394644,38.7499921302,36.6970336093,31.8954575503
GT423,0.8114851286,5.3606109325,0.7984425241,0.4723372186,0.3727491961,0.3823553055,0.4366659968,0.497437701,0.5945840032,0.4896000804,0.5217644695
GT481,6.7262169515,11.5399754982,7.4353488475,4.7805238093,2.6180585064,2.5614283901,8.9485020225,12.0166518589,11.606599489,19.0330581477,14.8114573619
GT482,8.7241268438,9.304181236,15.1349959139,14.442492933,8.9743244511,7.4386613614,12.544893694,14.6973326367,7.5853730423,4.8234529695,6.405027933
GT483,-2.2396145553,-5.1665428973,-5.0227079549,-9.1217980263,-8.6690346882,3.1222632799,4.6877074628,13.9269641307,0.8219510231,14.0368624012,0.1395134521
GT484,7.1379910895,6.1637454435,4.3285034427,4.313299919,4.6903300932,6.1573612799,5.1601711219,5.3910692588,4.1098116646,4.0950030377,4.8991950182
JHB,18.8138355792,22.2678187898,22.3696705644,34.6007309868,22.1460724398,22.9817307417,6.7606709349,19.9662591122,13.4181344616,11.1138777229,6.8775020987
KZN211,0,0,0,0,0,0,0,0,0,0,0
KZN212,2.7905166403,2.6710491284,3.0930586371,3.4570142631,0.7738700475,15.3108082409,-2.9921901743,0.0499524564,3.456659271,-2.4569635499,2.4529698891
KZN213,0,0,0,0,0,0,0,0,0,0,0
KZN214,0.1464124446,0.2786051618,0.2394879655,0.1680268445,0.1384792245,0.1481523675,0.1435436431,0.0358962675,0.0599030614,0.1020754795,0.0862297527
KZN215,0,0,0,0,0,0,0,0,0.0038066235,0,0
KZN216,1.0124426572,1.3006383353,0.6483963535,3.6377535284,2.2717238956,0.4494973354,6.2074296758,5.3000175689,8.8884416421,8.8106974837,5.1689031175
KZN221,0.1239964653,0.0730065618,0.0908210653,0.1067272078,0.0030364563,0.0770865061,0.1386993062,0.0702521293,0.1293173144,0.1262902589,0.0661063794
KZN222,0.120806817,13.9760435767,13.6109912631,13.5451731205,14.8177974329,9.5373961816,17.2340524215,18.5892676087,32.2107108187,24.8962571459,18.2919210441
KZN223,1.4086817311,1.3699708684,5.3525969084,0.4829016088,0.1495945201,2.2544156628,4.1243471643,0,2.7353489227,1.746581634,0.8017741385
KZN224,0.012082767,0.1057242108,0.0785379852,0.0604138348,0.0558827972,0.0332276091,0.0966621356,0.542214167,0.1540552787,0.2205104969,0.231082918
KZN225,1.4992563084,1.3431214998,1.1322041078,2.1906000621,1.174064242,3.0927157029,3.4293266681,4.6211408875,3.913925786,7.2143707076,4.5806937672
KZN226,0,0,0.1702511799,0.141268886,0.0071267936,0.2053783536,0,0.6889233791,0.1076937696,0.1076937696,0
KZN227,0.0114753849,0.0099554664,0.0096210843,0.009347499,0.0131320961,0.0072044138,0.0071132187,1.7412186707,0.0086331373,0.2910036022,0.0594136154
KZN232,3.8518343813,3.4171253848,4.6529732097,4.4240872316,4.8627046332,4.4422941665,6.7473982572,9.4090642992,3.4659593913,4.0539258835,4.2802764523
KZN233,0,0,0,0,0,0,0,0,0,0,0
KZN234,0.8466321119,0.509903431,0.3382199079,0.6626339398,0.1052277128,0.1395620122,0.0318689644,0.2797253256,0.1690859019,0.4552451505,0.4023306435
KZN235,0.4062301239,0.4995835479,0.3388405973,0.3835145531,0.2381349002,0.3665763092,0.1837386801,0.3551200897,0.3939410001,0.2257473423,0.2551715783
KZN236,0,0,0,0.0172454963,0.0101704209,0,0.0176876885,0.0017687688,0,0,0
KZN241,1.7666276094,1.7412506552,1.5465141377,1.5434306682,1.5148314884,2.6978662391,2.0970213684,1.8739631834,1.5437852672,1.3650365391,1.5081095248
KZN242,0.1518387001,0.0453701295,0.2335049332,0.0759193501,0.1022340252,0.0372035062,0.1887397388,0.0898328564,0.1696842844,0.0750119475,0.0626107787
KZN244,0,0,0,0,0,0,0,0,0,0,0
KZN245,0.8421231315,0.8404159351,1.6208665962,1.5422967612,2.4843587828,1.3109813469,1.444753766,1.7840784534,1.8494660161,1.477141998,1.1871126071
KZN252,0.3491118722,1.0932974705,1.2269240934,1.3574480503,1.695534033,2.1140333007,1.0489048442,1.877085421,1.1412745433,2.1855598013,2.0044874407
KZN253,0.9414087451,0.9414087451,0.8515184949,0,0.3713489344,0.5393124673,0.7269031996,1.1807676674,0.5743859242,0.5952325649,0.157307938
KZN254,0.102426562,0.2094732824,0.5554957371,0.3592368908,0.6982116463,0.3195935827,1.195172326,0.8150468378,0.2270925304,0.1747242098,0.2055578939
KZN261,2.467917078,0.0073123469,1.4988848671,1.7695879493,1.1854533046,1.5815996978,1.2455607961,0.1266985972,0.2237212533,-0.3317611788,0.7459568815
KZN262,0.0575614203,0.0925666861,0.0472185982,1.2870368915,0.9694430909,0.3114164008,0.8462880586,0.4624640438,0.184693252,0.7077288232,0.457410522
KZN263,1.1586468303,2.0868047001,1.6065526391,9.2738652516,2.3550033166,2.6564484033,2.5389604852,16.8851558798,1.9809959253,2.162721501,2.3823699422
KZN265,0.2320222874,0.2460596794,0.1241354896,0.0591612453,0.088816262,0.074327375,0.0446877501,0.0537125208,0.0800993289,0.0788936319,0.1184764094
KZN266,3.8301481013,4.6091908856,5.7868062894,5.1426796306,9.0105938391,5.3927632662,3.9623719579,2.9008321076,5.108604109,7.2778187843,2.6492881684
