Municipality,Name,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Total,Population,Sep 2011P,Dec 2011P,Mar 2012P,Jun 2012P,Sep 2012P,Dec 2012P,Mar 2013P,Jun 2013P,Sep 2013P,Dec 2013P,Mar 2014P
EC141,Elundini,0.000274,0.000866,0.000607,0.002566,0.000331,0.000423,0.004032,0.001744,0.000284,0.000975,0.000349,0.000723,138141,0.1040458662,0.1959374842,0.2020399447,0.2636147125,0.1325022984,0.1058049384,0.2947495675,0.3349114311,0.1287380285,0.264157636,0.083378577
KZN253,eMadlangeni,0.003341,0.003341,0.008735,0,0.001004,0.001728,0.002507,0.002486,0.001069,0.001045,0.000496,0.001948,34442,0.9414087451,0.9414087451,0.8515184949,0,0.3713489344,0.5393124673,0.7269031996,1.1807676674,0.5743859242,0.5952325649,0.157307938
MP314,Emakhazeni,0.002222,0.007117,0.002269,0.002308,0.001874,0.017572,0.004825,0.138252,0.00103,0.001934,0.001114,0.012364,47216,2.1181590986,2.9068536089,1.3520840393,2.2150330396,2.2913207387,13.3918375127,2.9909352762,81.0081751948,1.3539054558,1.1191757032,1.1700059302
EC136,Emalahleni,0.000011,0,0,0,0.000001,0,0,0.000024,0,0.000926,0.000136,0.000124,119460,0.0052904738,0,0,0,0.0004520342,0,0,0.0038674033,0,0.3546710196,0.0484681065
MP312,Emalahleni,0.001906,0.001553,0.001329,0.001346,0.000355,0.000622,0.001367,0.001294,0.00233,0.002198,0.002325,0.001546,395466,1.7700383851,1.1470012593,0.9971780128,0.5989136866,0.3645774858,0.5711692029,1.2050113031,0.9949047453,2.8027213465,2.3182169896,2.1010883363
GT421,Emfuleni,0.004779,0.010955,0.013504,0.011111,0.008576,0.007488,0.006917,0.007513,0.004954,0.004747,0.003254,0.007196,721663,6.9328218296,12.2044139716,13.1438718626,10.2894869212,13.6698694543,10.3365074834,8.4910200468,8.2979825764,8.78466819,7.1115021832,4.466027772
KZN232,Emnambithi/Ladysmith,0.004405,0.009806,0.013571,0.018414,0.004901,0.018714,0.013604,0.035709,0.003347,0.010258,0.011482,0.009575,237437,3.8518343813,3.4171253848,4.6529732097,4.4240872316,4.8627046332,4.4422941665,6.7473982572,9.4090642992,3.4659593913,4.0539258835,4.2802764523
NC073,Emthanjeni,0.020845,0.031511,0.087151,0.056225,0.019736,0.033544,0.063706,0.007409,0.01147,0.007915,0.026863,0.031598,42356,21.5077202758,26.2340400416,55.0382472377,46.1514779488,15.4722117292,32.2775993956,64.9306355652,5.4379072623,14.895906129,6.9956794787,26.0920058551
KZN241,Endumeni,0.001958,0.002516,0.00239,0.002797,0.001634,0.003553,0.002843,0.003047,0.001628,0.001753,0.001904,0.002299,64862,1.7666276094,1.7412506552,1.5465141377,1.5434306682,1.5148314884,2.6978662391,2.0970213684,1.8739631834,1.5437852672,1.3650365391,1.5081095248
EC137,Engcobo,0.007341,-0.362572,0.001525,0.002987,0.000377,0.000335,0.000279,0.000605,0.000061,0.00007,0.000042,0.001522,155513,3.9778603718,-1.3079935439,0.2149337997,0.168352485,0.1283879804,0.0485489959,0.0511211281,0.0306855375,0.0186479587,0.0173618926,0.0077163967
